C-1	MAJOR	shipping-label §5는 View Orders(order Print·single-item auto-print)와 RTO(row Print·Bulk Print Labels)를 '내부 송장(PACKING)을 발행하는 표면'으로 계약하지만, 두 화면 스펙의 프린트 파이프라인·이벤트 
C-2	MAJOR	shipping-label은 'fully CONFIRMED·frozen'(v1.2, 2026-08-03)인데 VO §6.4/§9.1과 RTO §9.1은 라벨·송장 레이아웃을 여전히 'Phase 3-1(추후 별도 오너 세션)' 미래 작업으로 서술하는 드리프트가 있고, VO는 내부 문서를 
C-3	MAJOR	RTO M1 헤더 {units}의 정의('테이블이 렌더하는 그 집합의 Σ(qty)')와 WF-9 적용 후의 테이블(샘플 행 ×1 포함 5행)이 충돌한다 — 정의대로 계산하면 9인데 QA-M1-01은 8 units를 단언한다. 동시에 shipping-label §3.3은 내부 지류에서 샘
C-4	MINOR	같은 샘플 세트 픽에 대한 로케이션 서술이 두 내부 지류에서 갈린다 — 내부 송장은 'location = sample shelf'(로케이션 값을 표기)인데, 피킹 리스트는 '로케이션 없음, `Sample` 마커 렌더·정렬 불참'으로 서술한다. 피커가 걷는 지류(M1)에는 샘플 위치가 없
C-5	MINOR	박스 실물 수량의 서술이 선언 없이 분기한다 — shipping-label은 'paper and box must agree'로 샘플 포함 9를 확정했는데, RTO Total Items는 스스로를 'the count of physical units to put in the box'라 정의
C-6	MINOR	내부 송장 상품명 칼럼에 EN 브랜드 볼드 프리픽스 요구가 빠져 있다 — RTO는 G-6를 '한국어 이름 어디서나 bold EN brand 필수'로 읽어 M1·Ready Item Details에 강제(BR-6, 브랜드 누락을 결함 RTO-WFX-5로 등록)하는데, 같은 내부 지류인 송장
C-7	MINOR	캐노니컬 이벤트 `print.job_result`의 페이로드 상태 어휘가 두 프린트 표면 스펙에서 다르다 — VO DC-29는 status ∈ {success, pending, agent_offline, printer_unreachable, timeout, rejected}, RTO D
C-8	MINOR	[쌍 감사 범위 밖 부수 발견 — view-orders 내부] v1.3에서 추가된 M1 로케이션 시나리오가 기존 ID를 재사용해 QA-M1-06과 QA-M1-07이 각각 2회 등장(ID 충돌)하고, §8.14 집계(279 / 136 WF / 143 ADMIN / 92 negatives)
C-9	MAJOR	같은 서버 액션(order.outbounded)의 아웃바운드 게이트가 두 스펙에서 다르다 — closing M1 게이트는 '취소 플래그 아님(not order.cancelled)'을 요구하며 이를 '전역 술어(VO BR-9와 동일, no page exception)'라고 주장하지만, V
C-10	MAJOR	캐노니컬 공유 이벤트(order.status_changed / order.outbounded)의 페이로드가 두 작성자 간에 어긋난다 — 상태값 레지스터(closing: 소문자-하이픈 'prepare-shipment' 의무, VO: 공백형 'prepare shipment')와 판별자 스킴
C-11	MAJOR	딥링크 경로 형식에 대해 두 스펙이 정반대의 규범 주장을 QA로 고정했다 — closing은 디렉토리형이 '[G-12]로 확정(fixed), index.html형 금지'라며 2026-08-03 정규화 완료를 선언하고, VO는 같은 날짜 기준으로 G-12의 디렉토리형을 '예시적(illus
C-12	MINOR	VO의 크로스페이지 레지스터 CP-5가 closing의 2026-08-03 M3a-D3 교정(취소=플래그, 언더라잉 상태+Cancelled 마커 렌더링) 이후에도 'closing이 Cancelled를 주문 상태로 쓴다'는 교정 전 상태를 현재형으로 기술하고 있다 — CP-1/CP-4/C
C-13	MINOR	closing의 M1 전파 계약이 VO에 존재하지 않는 표면·행동을 단언한다 — 'View Orders의 Processing working set에서 빠진다/더는 리스팅하지 않는다(수동 리프레시 없이)'고 쓰지만 VO는 주문 리스트가 없는 단일 스캔 허브이고, VO 자신의 외생 상태변경
C-14	MINOR	상태 렌더링 레지스터 불일치 — closing은 8개 상태값을 '렌더 문자열에서는 항상 타이틀케이스 라벨'(refunded→Refunded, M3a-D19 크로스페이지 정규화)로 못박았지만, VO는 State 4 상태 필을 소문자 `refunded`로 byte-exact QA 단언하고(
C-15	MAJOR	WF-9(피킹 리스트 샘플 행)·PD-36의 현재 상태가 문서 간·문서 내에서 정반대로 서술된다 — RTO §3.15/QA-E-20은 '2026-08-03 적용 완료·PD-36 사실상 확정'이라 하고, RTO §2.4·§9.4·OQ-1 말미와 OM §9.1은 '샘플 행 없음·PD-36 
C-16	MAJOR	MKT 오더 PIC의 타입 계약이 정면 충돌한다 — OM은 자유 텍스트 PIC를 허용하고 그것이 'RTO에 렌더된다'고 명시(BR-4·E-59)하는데, RTO [L-8]은 'PIC resolves to a system user'(PD-33)로 못박고 자유 텍스트 분기를 전혀 정의하지 않
C-17	MAJOR	공유 컴포넌트인 Comments 허브의 클릭 라우팅 계약이 갈린다 — OM(BR-32)·G-7은 허브 행이 inbound request/pool item일 수 있고 클릭이 '그 엔티티의 화면'으로 라우트된다고 하는데, RTO §3.10·§6.2는 무조건 'opens the order (
C-18	MINOR	OM §6.3이 임포트 후 도착지를 `../ready-to-outbound/#marketing`(Marketing view 활성화)으로 계약하지만, RTO 스펙·와이어프레임 어디에도 `#marketing` 프래그먼트로 탭을 활성화하는 수신측 계약이 존재하지 않는다.
